room,trial,A,B,C
room0,0,murabito,yogen,murabito
room0,1,murabito,murabito,jinro
room0,2,murabito,murabito,murabito
room0,3,jinro,murabito,murabito
room0,4,murabito,murabito,murabito
room1,0,jinro,murabito,murabito
room1,1,yogen,jinro,murabito
room1,2,yogen,murabito,jinro
room1,3,yogen,murabito,murabito
room1,4,jinro,murabito,murabito
room2,0,murabito,jinro,murabito
room2,1,murabito,murabito,murabito
room2,2,murabito,murabito,murabito
room2,3,murabito,murabito,murabito
room2,4,murabito,murabito,murabito
room3,0,murabito,murabito,jinro
room3,1,murabito,murabito,jinro
room3,2,murabito,yogen,jinro
room3,3,jinro,murabito,yogen
room3,4,murabito,murabito,jinro
room4,0,murabito,yogen,murabito
room4,1,murabito,jinro,murabito
room4,2,jinro,murabito,yogen
room4,3,murabito,murabito,murabito
room4,4,yogen,murabito,jinro
room5,0,murabito,murabito,murabito
room5,1,jinro,murabito,murabito
room5,2,jinro,murabito,murabito
room5,3,yogen,murabito,murabito
room5,4,murabito,murabito,jinro
room6,0,jinro,murabito,murabito
room6,1,jinro,murabito,murabito
room6,2,murabito,jinro,murabito
room6,3,murabito,murabito,murabito
room6,4,murabito,murabito,murabito
room7,0,murabito,murabito,murabito
room7,1,murabito,jinro,yogen
room7,2,murabito,murabito,murabito
room7,3,murabito,jinro,murabito
room7,4,murabito,jinro,murabito
room8,0,murabito,murabito,murabito
room8,1,murabito,jinro,murabito
room8,2,murabito,jinro,murabito
room8,3,jinro,murabito,murabito
room8,4,murabito,yogen,murabito
room9,0,yogen,murabito,murabito
room9,1,jinro,yogen,murabito
room9,2,murabito,yogen,jinro
room9,3,jinro,murabito,yogen
room9,4,murabito,jinro,murabito
room10,0,murabito,murabito,murabito
room10,1,murabito,murabito,jinro
room10,2,murabito,murabito,murabito
room10,3,murabito,murabito,murabito
room10,4,murabito,jinro,yogen
room11,0,murabito,murabito,jinro
room11,1,murabito,murabito,murabito
room11,2,jinro,murabito,murabito
room11,3,yogen,murabito,murabito
room11,4,murabito,murabito,jinro
room12,0,jinro,yogen,murabito
room12,1,murabito,murabito,jinro
room12,2,murabito,yogen,jinro
room12,3,murabito,murabito,murabito
room12,4,yogen,murabito,jinro
room13,0,murabito,jinro,yogen
room13,1,yogen,murabito,murabito
room13,2,murabito,jinro,murabito
room13,3,murabito,murabito,murabito
room13,4,murabito,murabito,yogen
room14,0,murabito,jinro,murabito
room14,1,murabito,murabito,murabito
room14,2,yogen,murabito,jinro
room14,3,murabito,yogen,jinro
room14,4,murabito,jinro,yogen
room15,0,jinro,murabito,yogen
room15,1,murabito,jinro,murabito
room15,2,jinro,murabito,yogen
room15,3,murabito,murabito,yogen
room15,4,murabito,murabito,murabito
room16,0,yogen,murabito,jinro
room16,1,murabito,murabito,murabito
room16,2,jinro,murabito,murabito
room16,3,murabito,murabito,jinro
room16,4,murabito,murabito,murabito
room17,0,yogen,jinro,murabito
room17,1,yogen,jinro,murabito
room17,2,yogen,murabito,murabito
room17,3,murabito,murabito,jinro
room17,4,murabito,murabito,jinro
room18,0,murabito,murabito,murabito
room18,1,jinro,murabito,yogen
room18,2,murabito,murabito,murabito
room18,3,jinro,yogen,murabito
room18,4,murabito,murabito,yogen
room19,0,murabito,murabito,murabito
room19,1,murabito,murabito,murabito
room19,2,murabito,yogen,jinro
room19,3,murabito,murabito,yogen
room19,4,jinro,murabito,yogen
room20,0,murabito,murabito,yogen
room20,1,jinro,murabito,yogen
room20,2,murabito,murabito,jinro
room20,3,jinro,murabito,yogen
room20,4,yogen,murabito,murabito
room21,0,murabito,murabito,murabito
room21,1,murabito,yogen,jinro
room21,2,murabito,yogen,murabito
room21,3,murabito,murabito,yogen
room21,4,yogen,murabito,murabito
room22,0,jinro,murabito,yogen
room22,1,murabito,murabito,jinro
room22,2,jinro,murabito,murabito
room22,3,jinro,murabito,murabito
room22,4,jinro,yogen,murabito
room23,0,murabito,murabito,yogen
room23,1,yogen,murabito,murabito
room23,2,murabito,murabito,murabito
room23,3,murabito,murabito,murabito
room23,4,jinro,murabito,murabito
room24,0,jinro,murabito,murabito
room24,1,murabito,jinro,yogen
room24,2,murabito,murabito,murabito
room24,3,murabito,murabito,jinro
room24,4,murabito,yogen,murabito
